location.location_num,location.location_name,location.address_1,location.address_2,location.address_3,location.zipcode,location.location_status,location.operator_guid,location.concept_type_code,location.location_type_code,location.service_team_name,location.operator_team_name,location.market_name,location.business_consultant_guid,location.gmt_offset,location.gps_latitude,location.gps_longitude,location.has_dining_room,location.has_drive_thru,location.drv_thru_num_approach_lanes,location.drv_thru_num_order_points,location.drv_thru_num_pickup_windows,location.offers_wireless,location.playground,location.rpp_mobile_payment,location.rpp_mobile_ordering,location.rpp_alist,location.rpp_serves_breakfast,location.rpp_serves_limited_menu,location.rpp_delivery,location.rpp_catering
3394,Killian Crossing FSU,Killian Road east of I-77,,,29203,future,,CFA,FSU,,,Columbia  SC,,,34.13726,-80.95928,N,N,,,,N,none,,,,,,,
3396,Palmdale FSU,730 W Rancho Vista Blvd,,,93551-3713,future,,CFA,FSU,West Region Team #1,LA Valley,Los Angeles  CA,8be2561e6bc4a942b95488caff08ab1e,,34.60125,-118.14485,N,Y,2,2,1,N,none,,,,,,,
3403,Legacy Village FSU,17501 W Center Rd,,,68130-2740,future,030c0a50ccfc4e9986e38d0941d03a0a,CFA,FSU,MW Region Team #1,Omaha/Western Iowa,Omaha  NE,566bbb05c9fd42e5b1d7ee3930efdbff,,41.2335,-96.1891,N,Y,2,2,1,N,interior,,,,,,,
80547,Anderson University,1100 E 5th St,OLT Student Center,,46012-3462,open,15abf95340beef48a3a622540eb9abd1,LIC,COLL,MW Region Team #1,Indianapolis North,Indianapolis  IN,5fc7945f2b0c4b4292933e8ab8244516,,40.112823,-85.664278,N,N,,,,N,none,,,,,,,
80548,College of DuPage,425 Fawell Blvd,Student Resource Center,,60137-6708,open,7ca1d9aaa73448109382ee3d0efa6fda,LIC,COLL,MW Region Team #1,Chicago West,Chicago  IL,2472e5c21f6845e8a29191b8b5e52471,,41.842274,-88.07365,N,N,,,,N,none,,,,,,,
3425,120th and Sheridan FSU,120th and Sheridan,,,80020,future,,CFA,FSU,West Region Team #1,Denver North,Denver  CO,d9700bc0f01e43488d2117e4c01b36c8,,39.91472,-105.05154,N,Y,2,2,1,N,interior,,,,,,,
3426,Terminated Northwest Lubbock FSU,5705 4th Street,,,79416,never opened,,CFA,FSU,SW Region Team #1,West Texas,Lubbock  TX,78936b780a974f4886a6e21d2b383e5b,,33.5917,-101.9357,N,N,,,,N,none,,,,,,,
3430,Flemington FSU,305 Route 202/31,,,8822,future,,CFA,FSU,,,New York  NY,,,40.50131,-74.8548,N,Y,2,2,1,N,none,,,,,,,
3432,Enfield FSU,25 Hazard Ave,,,06082-3725,future,,CFA,FSU,NE Region Team #1,New England,Hartford & New Haven  CT,5ad5dbd304fb06409b47557e68f4b556,,41.99022,-72.57983,N,Y,2,2,1,N,interior,,,,,,,
80549,Calgary International Airport,2000 Airport Rd NE,,,T2E 6Z8,open,,LIC,AIR,West Region Team #1,Idaho,,1b366fe916b01a429beea840ca730ea2,,51.132198,-114.011531,N,N,,,,N,none,,,,,,,
3435,Auto Mall Parkway FSU,5539 Auto Mall Pkwy,,,94538-5128,future,,CFA,FSU,West Region Team #1,Bay Area,San Francisco-Oakland-San Jose  CA,1b366fe916b01a429beea840ca730ea2,,37.50509,-121.97356,N,Y,1,2,1,N,none,,,,,,,
3439,LBJ & Midway FSU,I-635 and Midway,,,,future,,CFA,FSU,SW Region Team #3,DFW Dallas/Plano,Dallas-Ft. Worth  TX,cad27220a8f60043a50741593ce31309,,32.92245,-96.83858,N,Y,2,2,1,N,interior,,,,,,,
3440,Olney FSU,Olney-Sandy Springs Road (Rt. 108) @ Georgia Ave. (Rt. 97),,,20832,future,,CFA,FSU,,,Washington  DC (Hagerstown  MD),,,39.15369,-77.06659,N,N,,,,N,none,,,,,,,
3442,Lehi Pointe FSU,State Road 92,,,84043,future,,CFA,FSU,West Region Team #1,Utah South,Salt Lake City  UT,8be2561e6bc4a942b95488caff08ab1e,,40.43101,-111.88803,N,N,,,,N,none,,,,,,,
3443,Dixie Highway FSU,Dixie Highway,,,40216,future,,CFA,FSU,AT Region Team #2,Louisville,Louisville  KY,87c1b065c495e443ac02b1f3aa2c7999,,38.168827,-85.82774,N,N,,,,N,none,,,,,,,
3453,RSA Trustmark Building,107 Saint Francis St,,,36602-3334,open,fe27116f1ee47243aae8bdaf322ab3bd,CFA,OFFC,SE Region Team #3,Gulf Coast West,Mobile  AL-Pensacola (Ft. Walton Beach)  FL,fc7366ebca1e4d5f9ef5fbf0e350981b,,30.69295,-88.04161,N,N,,,,N,none,,,,,,,
3456,Terminated - Burnsville FSU,TBD,,,553337,never opened,,CFA,FSU,MW Region Team #1,Minneapolis,Minneapolis-St. Paul  MN,5fc7945f2b0c4b4292933e8ab8244516,,44.74703,-93.29742,N,N,,,,N,none,,,,,,,
3458,Crofton FSU,1133 Route 3 North,SEC of Route 3 and Carver Road,,21114,future,,CFA,FSU,,,Baltimore  MD,,,39.022797,-76.692822,N,N,,,,N,none,,,,,,,
3464,North Plainfield FSU,Route 22 and North Drive,,,7060,never opened,,CFA,FSU,,,New York  NY,,,40.6318,-74.43091,N,N,,,,N,none,,,,,,,
80554,Southeastern Louisiana University - War Memorial,303 West Texas Avenue,War Memorial Student Center,,70402-0001,open,544f5c007d2840199e6eacc1dfd16785,LIC,COLL,SW Region Team #2,South Louisiana,New Orleans  LA,e79b8f588fc1c840853732d48f3a5861,,30.513781,-90.466865,N,N,,,,N,none,,,,,,,
3468,Palm Coast FSU,1000 Palm Coast Pkwy NW,,,32137,future,,CFA,FSU,SE Region Team #2,Space Coast,Orlando-Daytona Beach-Melbourne  FL,7e5584ea022c49e3a792d3f9d8969b44,,29.553969,-81.227324,N,Y,2,2,1,N,none,,,,,,,
3469,Huebner & Babcock FSU,Babcock Road,LA Fitness Carveout,,78240,future,,CFA,FSU,SW Region Team #1,San Antonio West,San Antonio  TX,78936b780a974f4886a6e21d2b383e5b,,29.5254,-98.6002,N,Y,2,2,1,N,interior,,,,,,,
3479,Glenbrook Square FSU,4201 Coldwater Road,,,46805,future,,CFA,FSU,MW Region Team #1,Northern Indiana,Ft. Wayne  IN,2472e5c21f6845e8a29191b8b5e52471,,41.117609,-85.1419,N,N,,,,N,none,,,,,,,
3480,Cornerstone In-Line DT,Peachtree Road and Collier Road,,,30339,future,,CFA,FSU,SE Region Team #1,ATL-Downtown,Atlanta  GA,201d50d9289f99429b01b6ef8242d6d4,,33.80694,-84.39346,N,N,,,,N,none,,,,,,,
3481,TERMINATED - Skibo FSU,Skibo,,,28314,never opened,,CFA,FSU,,,Raleigh-Durham (Fayetteville)  NC,,,35.06437,-78.968135,N,N,,,,N,none,,,,,,,
80556,Indianapolis International Airport,7800 Col H Weir Cook Mem Dr,,,46241-8003,never opened,,LIC,AIR,,,,,,39.714803,-86.298039,N,N,,,,N,none,,,,,,,
80557,Carson Newman University,809 E College St,Maddox Student Activities Center,,37760-2236,open,13fe1fb8d7514aa9a97381350c99c9c6,LIC,COLL,AT Region Team #2,Knoxville East,,d7460f1c74b14476b58aa48c3a61fd8e,,36.122589,-83.490754,N,N,,,,N,none,,,,,,,
80558,California Baptist University,8432 Magnolia Ave,,,92504-3206,open,f0c89a72273ff041a9e9dc9aa8e294dd,LIC,COLL,West Region Team #1,Inland Empire South,,1987c2e34d72754ea22f7067f7959f8b,,33.92951,-117.426823,N,N,,,,N,none,,,,,,,
80559,Georgia Southwestern State University,800 Gsw State University Dr,Canes Den Student Center,,31709-4376,open,ff51e87d209f47b29771915f53f08c9a,LIC,COLL,SE Region Team #3,South Georgia,,fc7366ebca1e4d5f9ef5fbf0e350981b,,32.057018,-84.217256,N,N,,,,N,none,,,,,,,
3484,Wyoming Boulevard FSU,2274 Wyoming Blvd. NE,,,,future,,CFA,FSU,,,Albuquerque-Santa Fe  NM,,,35.105896,-106.550442,N,Y,1,2,1,N,none,,,,,,,
3473,North Point Village Center FSU,1494 North Point Village Center,,,20194,future,,CFA,FSU,,,Washington  DC (Hagerstown  MD),,,38.97865,-77.34885,N,N,,,,N,none,,,,,,,
3498,Stadium Boulevard FSU,Stadium Blvd,,,,future,,CFA,FSU,MW Region Team #1,St. Louis,Columbia-Jefferson City  MO,5fc7945f2b0c4b4292933e8ab8244516,,38.959408,-92.372126,N,N,,,,N,none,,,,,,,
3504,Burlington FSU,50 South Avenue,,,1803,future,,CFA,FSU,,,Boston  MA (Manchester  NH),,,42.483,-71.2197,N,N,,,,N,none,,,,,,,
3505,Terminated Terminated Edison FSU,1521 Route 1,,,8837,never opened,,CFA,FSU,,,New York  NY,,,40.5449,-74.3325,N,N,,,,N,none,,,,,,,
3509,Cypress Towne Lake FSU,Barker-Cypress Road at Tuckerton,,,77433,future,,CFA,FSU,SW Region Team #2,Houston Northwest,Houston  TX,3757847305444afbb9d2b5c0087ee73e,,29.920929,-95.686744,N,N,,,,N,interior,,,,,,,
3517,South Lamar FSU,S. Lamar and Bluebonnet,,,78704,future,,CFA,FSU,SW Region Team #1,Austin North,Austin  TX,aa6b12622f45b8408d3a620eda118fd2,,30.246792,-97.776877,N,N,,,,N,interior,,,,,,,
3518,Pharr FSU,South Jackson Road and Kelly Ave,,,,future,,CFA,FSU,SW Region Team #1,South Texas,Harlingen-Weslaco-Brownsville-McAllen  TX,15bff427dfaae34485fc096ee4ecc695,,26.195355,-98.204486,N,N,,,,N,interior,,,,,,,
3519,White Rock Lake FSU,7340 Gaston Ave,,,75214-4130,future,,CFA,FSU,SW Region Team #3,DFW Dallas/Plano,Dallas-Ft. Worth  TX,cad27220a8f60043a50741593ce31309,,32.811123,-96.73025,N,Y,2,2,1,N,interior,,,,,,,
3520,Terminated Temecula Pkwy @ Pechanga FSU,Temecula Pkwy @ Pechanga Pkwy,,,92592,never opened,,CFA,FSU,,,Los Angeles  CA,,,33.475572,-117.129096,N,N,,,,N,none,,,,,,,
3521,Waverly FSU,Providence Road within Waverly Shopping Center,,,,future,,CFA,FSU,,,Charlotte  NC,,,35.054592,-80.768934,N,N,,,,N,none,,,,,,,
3534,Northtown FSU,Jefferson Street,,,,future,,CFA,FSU,MW Region Team #1,Minneapolis,Minneapolis-St. Paul  MN,5fc7945f2b0c4b4292933e8ab8244516,,45.127812,-93.257676,N,N,,,,N,none,,,,,,,
80565,Texas Southern University,3100 Cleburne St,Sterling Student Life Center,,77004-4501,future,,LIC,COLL,,,Houston  TX,,,29.724028,-95.362456,N,N,,,,N,none,,,,,,,
3538,Station Park FSU,74 Station Parkway,,,84025,future,,CFA,FSU,West Region Team #1,Utah North,Salt Lake City  UT,f0f1b4f309e1954d8cf2bda47fe39498,,40.986234,-111.906355,N,Y,1,1,1,N,none,,,,,,,
80566,Florida A&M University,1510 Wahnish Way,Orange Room,,32307-3100,future,1b9e7948f7b44d75bc8bdc6f67b49974,LIC,COLL,,,Tallahassee  FL-Thomasville  GA,,,30.426899,-84.287744,N,N,,,,N,none,,,,,,,
80567,Georgia Gwinnett College,1000 University Center Ln,"Building ""A"" Food Court",,30043-7409,open,718e591502def542ae3aec3d7e4f13fb,LIC,COLL,SE Region Team #1,ATL-North Gwinnett,Atlanta  GA,201d50d9289f99429b01b6ef8242d6d4,,33.980689,-84.005393,N,N,,,,N,none,,,,,,,
80568,University of Memphis-University Center,499 University Ctr,University Center Food Court,,38152-3460,open,ad01eafb86a9184bad2e3091494d8760,LIC,COLL,AT Region Team #2,Memphis 2,Memphis  TN,d63edddffc3883458843eb10ef0c5085,,35.117644,-89.937184,N,N,,,,N,none,,,,,,,
3539,West Midland FSU,SEQ of Andrews Highway and Avalon,,,,future,,CFA,FSU,SW Region Team #1,West Texas,Odessa-Midland  TX,78936b780a974f4886a6e21d2b383e5b,,31.994143,-102.165606,N,N,,,,N,interior,,,,,,,
3555,Kerrville FSU,1002 Junction Hwy,,,78028-4902,future,,CFA,FSU,SW Region Team #1,San Antonio West,San Antonio  TX,78936b780a974f4886a6e21d2b383e5b,,30.059273,-99.164085,N,N,,,,N,interior,,,,,,,
